participant.label,informationtreatment.5.player.display_payoff_euro
5efd22056ec55516587f32a6,5.41
5b59a51fca6d01000157a8c3,8.00
5fea2e6613597c51a166f24d,4.83
5abb8dcb7ccedb0001b7f0d7,5.29
6358f1332459f21caa585aef,7.17
5f00d65cb69f9e20f144e404,4.89
5f0f6ef654ae12126762bd4e,5.96
611aa9eeaa36f51f00d5e8da,4.94
62ceeffea6d9872b4adeee6f,5.94
58542426733c730001a5d1f4,6.15
62b07159ba623a4beb4012e0,3.78
60cfc7020935437e26046107,5.71
5e91f89e7a826753247c7ca3,6.88
60a746a3455cbbaefa083a14,6.81
5ea047d315537303f1e60ef9,5.22
5975ea651a800200011cd0f7,5.62
6109ab5e542ae3f78f1d29dc,6.35
5aafd9eff69e940001d88bf4,4.95
5e2f291e81f6df4e781294ed,3.63
5ef0530e6a229555fac1f7c9,4.30
5ae64fb8c3c3ab00018f7e89,5.77
63059533db412ba488f1ee14,6.68
62b43755f6be0c82be3cb760,5.11
62fbf0a70bb3960cd2e5fbc9,4.80
5ec300b3f3df631383fb27e0,5.82
