participant.label,informationtreatment.5.player.display_payoff_euro
5995889da2bbe000018833d9,3.56
5eff07d279c81803541503a8,5.17
6064f324490f89475bf8e184,6.72
5a9d68a3dbdb470001eefb79,4.38
5ef647ec3ce68a1178780f5a,4.62
62861bcc5f0edf6340c914df,5.42
5ecff76b3acdb0095ebf080d,7.33
5e9edad6e7784d016ed87b36,5.45
5b17642244127b00013f7f65,7.55
599973b4336b6b000159e62d,4.84
5bad16bfd0e97100013f49ad,7.30
5bb0e35556161d0001feccdc,5.41
5ce2cde71d1060001a811155,6.56
6128188a420f8d3f27f8d8b1,4.27
60faa15c2865f29284c740fc,5.87
62b445062f732535911f91b7,6.82
5b97f2375612b30001acc4c9,4.10
5c762ce8eda5da001662be0b,6.55
637f86d14043aee189917962,4.70
61265e53740259c87b17cc66,5.03
636594aeb530d6f0868d9806,3.91
63161177a364d42cdf76b1a6,6.04
5c5da3b159ec1d0001fe5606,5.81
5eccf455d8fbb95121cc38cd,6.02
608fdbc4196e5708ed3f291a,5.98
