participant.label,informationtreatment.5.player.display_payoff_euro
5d3ef33e8da0790017c90e08,6.43
55da1c4669dbc30010b67569,4.53
5dc8dff727a26762edc4c858,7.24
5eb7094fbb8ed70b61398cff,6.14
5c4f7b99b33a5300013dbfdd,4.93
606451b5aab2ec4afaae10f4,7.32
5bddfba7712eb800010d3a61,4.58
5e4db49d96e3c32079f64790,4.99
604ce6075c751bc1e1a11dd5,6.03
5b5345492a4d0c0001ae2e12,4.24
63174af7d57182f9bf90c094,6.23
5e8f28c5d73dcd03c21314dc,4.76
574c19047fd0ec0006b655ec,4.28
609ab94f178ec843226336a7,5.64
5fde8fc3c0e40a651914c261,6.23
5994c52989d01e0001aea32f,5.32
6234905bd877b34677aaa521,3.53
545d347afdf99b7f9fca22c7,4.95
5f0ee1c5befb85011c91daf4,6.81
57be9976c5234c00014706c1,3.59
63468cf93d14200cf24b363a,4.83
62b1ec3cff983aefecc65941,4.50
601fe0de101ae05414812f4d,7.30
5bbc3d95f1f9ba000141d855,4.69
62b224142b613b1ffb985ed2,5.66
