participant.label,informationtreatment.5.player.display_payoff_euro
5d9ca4eff93dba0013e68c11,7.54
5d41d708128a05000183c461,5.67
5f836c9938d2da4fb75631ef,7.86
5cf66ed8912f0b0017c50b52,5.22
5eb0efc1e873f11a7a90daec,6.65
60bb3b463887c2f9d1385cce,6.15
5e724ae92575691840b8f8c9,6.53
5fcfb1fe79b8060e0662270a,6.51
5e1ae38b2d11243260af4066,6.61
5d1a69d8f97a18001977e0d7,6.05
5d2b45b9f7ef930001c5fa2d,5.74
5dcff5909595a10f6241c0f6,5.40
5f033543945c554f816f6ad7,5.71
5fba54733359979ab9a16056,6.39
6287745dd285a8be832879dc,7.29
