participant.label,informationtreatment.5.player.display_payoff_euro
5d921a2e34fc500016df8e5f,6.85
5a6b2c0d9d65ec00017e715e,4.81
5780d9a1900cc80001d2d1c2,5.36
5fb4661ad97d9a1668f07086,4.52
542c323bfdf99b324ea3808d,7.12
5d76ac914c93440001c03fd7,5.78
63483069e7c6931be7b56fe9,6.82
60bceb1dcefc0afe67041489,5.61
5a67676a35f26b000149689d,7.24
5f8ef8e63fdd230d00f5d0e4,6.54
5be1fe1eca095c0001ba077a,4.40
5d49d17b3dad1f0001e2aba1,5.84
61543eaa6278eff1d74aafc9,6.14
5b5523d6d8348500012cfccf,5.99
60ca90c5c392ce24e1bb64f6,6.16
5aae762bc4e8f200014b3f88,6.42
612cc22830e71399b7a86841,5.62
6367d5a6f05f3b489c18f926,4.70
5e5bf97e74c9533e48e3609c,5.72
5d1c9d39ff67e3000140ca87,4.90
5d5a75c570a7c1000152623e,5.15
6272f5f3d37c1c9e88c115a2,5.18
5e282e43266894a3e79a6eaa,5.80
603c124974df2e8f9f375fa8,5.61
6148fbe7c0cae76ed2c1657a,4.92
