participant.label,informationtreatment.5.player.display_payoff_euro
5c5c1528f1c982000151090a,5.56
5bc73b9f821054000181a853,4.91
5f0c5a561cecb606cd7987b0,4.96
5c9d88bb2b3c77001744ec1c,4.13
5c17c149f596b100011ca8b8,5.65
5ea0304b6d57b8000c9b742c,7.01
5e7f1c5ee2d6185def08ac67,4.93
5f674b595c87a8334c381ae7,4.92
604e7009ec21c0e9b6990c6f,5.26
629b3b3c89d490460eacbfbc,8.40
630cba3d8762889cd38def30,4.91
5d93ab29efb8550018d5626c,6.34
60643e9b1b2e851ff9238862,7.89
5be6ef463b047e0001a38a8a,6.36
62b447656327845c605becd9,5.71
5efc6a4ba720250009909dfe,4.85
60461bfeeac81b04cf62f7a6,4.53
56b9de6c1a6972000d8d0e38,8.73
5f491ffe5324cf2ed519375d,5.01
5d6bfd6f3a9682001bd62534,5.72
5f612fe73bb6c60afeafb0e9,8.12
6137753896c9b6b5813a2432,5.48
6384668c462ba8f761163280,5.95
615586b009f801c3f2d4af8d,3.19
60f5917414ac7d222d22db64,5.40
