participant.label,informationtreatment.5.player.display_payoff_euro
595804ea8b58be00012c25a1,5.56
62682277645054f5802459b8,8.93
57d5ab3a722df500017f3622,5.79
6266b0409582f553a3e10d9a,5.24
614a4492903df4380cb1a0c2,6.32
62fc9f0a3186ccfb69e7d528,7.38
5f6388c21b14c5079764e750,6.55
5f6b027e6eae971e2fa13594,4.29
5e39dfdc54fca708912dfab5,5.23
5987030cfd8cca00015cbc26,8.12
60f192e1477c5ed33515724a,4.85
5967e9a831394d0001abdb3f,5.50
5eeb58ec4c86582a76ff55ec,5.40
5c86d8c5332a8d0001e9577a,5.80
5c321ebf6558270001bd79aa,6.87
5e35c2d04de45156d0c95d3f,4.69
634b26ce0aaab507fa36b71c,5.21
5dcaca3084116a7965ef1fd4,4.85
5ef89ca507b0e3040299f1a3,3.81
566d5997d408ea00051a2a86,7.11
572b912c3ab9df000dba9eef,4.93
5ea3319a6a1a5b2a1175ed6e,4.12
6130c7f7d0112fa23b17079c,5.26
5f1e33e58d05fc3a189c6ab4,6.61
6346eab0d002c76732ac0a88,6.05
