participant.label,informationtreatment.5.player.display_payoff_euro
5f8b4560fc6686262722efdb,5.03
5ccc76bbc7508d0017d35954,7.29
614c5dc3cda534db7afc2e73,4.77
6085a4cc5f5f9ba1a3bfd785,5.25
56b78f11e77ebe000cbefe79,4.66
5478e52cfdf99b5322cf7f7b,6.44
5d8e154af2858200171fdb95,5.92
5b75ac687dc4b00001af4e50,5.26
62c5c6430467d6c7b9147667,7.03
59497c498fb2140001afda85,3.80
5ef722c333956242acf17935,3.75
5f0788c06b220f03231666a0,5.69
58404fd8ad98e40001ce915f,5.87
60d557b55c55abe0ab9dc3f7,6.96
5c42f9388bb6fd000163d1b4,6.90
5988055f631d0c000149a5ac,5.89
628f7669ee68aabf3930123b,7.98
634d7250a9dbe47b2b1d110f,5.90
60cf52fe3e92521f36031191,4.27
5e93138a7d69590115fa1e21,4.86
63068110447ef1aaa9660816,7.04
62b8cd151b5fd0f9be7d1f11,7.32
63039f41fa5c21d483996be2,5.53
62a737b12cc61f784c4aab36,5.43
629f2dccc6e91be06559e2f1,5.59
631f3b0501e9739c61c03255,3.39
59bb9e3a178f1b0001828b12,5.36
5bef213956a3210001067bc2,6.53
5e4da2248f2be10718acf61b,5.77
616fd2048c982b1d27653870,7.21
