participant.label,informationtreatment.5.player.display_payoff_euro
5d519a9df20feb00180b62bc,7.03
6061ef11da123a1d9e55c6c8,7.09
5b1efc25bdf4e1000163af46,6.25
5c4f5967aac8be0001716a65,5.78
5a0a057c80acd80001047392,4.80
593ead9ea514380001e5cf86,4.16
57655a2aea19ef00016351cf,6.02
543e85adfdf99b7356902e90,7.11
5d341b57a48ae7000114152a,5.22
5d8cef3c28e183001a335ab0,6.32
5eb3cef4444b2f1be1ed2e00,3.81
5ea019431fa8990256915ea7,4.67
62b1ff970dfb7055f35d6937,6.32
58ff31a1d10e2b000108579e,6.06
5c129cc7ba99dc0001f0b628,5.48
58d0632c2fc72000011f8c57,8.19
5d920df12b679a00182bbc73,5.23
5ecfd28bb14b1c05751f178c,6.49
5f61f7f59df6ca1bfe6a8a89,4.93
60eeb9d36a7364ce4723b8bd,5.31
6347e31ef77fad7edd2f53f1,5.66
572a04726fe43d000f0491de,7.26
62c8391cd913ab9b5317d5f9,4.87
5cebd58ade266200191eaf7d,4.20
62eae330e31dcc26183e2987,3.88
5eb7ace91de6e86e9a6053d2,4.87
5a3026823eff6600016f2807,4.29
5d3869444a0f0500198dc192,5.04
