participant.label,informationtreatment.5.player.display_payoff_euro
5a0c036857cee70001767a58,7.32
5b100cb0a3553300017541c8,5.18
5be7752e66e3d1000103957f,6.68
601e028aea41df251254119a,4.56
5e2c8f69cad44b2bc5ce9a34,4.91
5a102e9dfdf6fc0001279561,6.52
5d68c8aa40524c00189e8ac2,5.73
575b2b408b705300078ae5e6,5.32
5f3e6a07e06e71069f919082,4.01
5e89ba09ec9b3364b1fc0bd1,4.61
5f2b3b2b4cc04057806945da,4.58
55885582fdf99b4021921fbd,3.75
5f7ebad5cf009c196fd54b2b,7.13
59e675a6c0d35a00012951ce,6.28
60377564edd48263e3130a88,5.82
5927ee603497ad00010171c2,3.68
5d0c90dc3382180015624ad9,4.62
5bc08c345e8a950001892156,6.50
59e39cc9c0d35a0001294f20,4.64
5d51a96b5054110015905fd9,7.27
5f522c40069004482b3af322,5.80
5e766b0ba02ca51dfa1de797,5.54
5ea954a1550e7902833cece8,4.51
559bbbdafdf99b7ce19d5b3d,4.41
5ace11dc35eccf0001a115fe,5.83
5a8af7af17ef35000170b31d,4.97
5eaecb0824839e59ed3523eb,7.16
56afa11aabec410005a56534,6.73
5e2872fffcdb020467d12799,3.99
5b99663d4cefb60001e7a214,3.80
