participant.label,informationtreatment.5.player.display_payoff_euro
59dd90f6e75b450001a68dac,4.51
5ee0edcb962eba464f486b40,5.62
5e9d6cc45c16f00273b05f93,7.59
5c4a061161db8c00015e4fb0,6.06
5f0a414ff08fe631710e3ce8,3.94
5e170347afb7a7011c36d842,5.64
59f3a778b47dfc0001b65cf9,6.70
5f919274b5383b00096b0295,4.36
5eadaff848b26f4483ae62d9,4.42
5c1da6adaaf13200014292cc,5.61
5d6e570e8c129300166dba20,6.59
62e2dbce6972374fdd427048,6.99
59f604fc9618dc0001d33ccd,4.35
61588a883213fd00ccae7c21,5.85
5ba42e35984ec30001c6018d,6.69
