participant.label,informationtreatment.5.player.display_payoff_euro
5e35373e1ddb124e6c306747,7.03
5baa3265c0a8c000014bea73,4.23
5cf656e90acc8f000147f643,4.35
5efcd984f7176d0e6a59dd17,6.97
5aeb063b2f05b500013028a0,4.28
609d81679bcff493c7d143de,7.81
5b7ffeeb05fbbd00016aa0bc,4.78
5ae608ca02d85e00017db18d,6.39
63469acb8b2b06f15da868f4,4.18
5f84e472052cf81ae5752252,5.26
63207c8968ec10d3b9d54151,6.63
59935842cf1d1700016ef871,5.14
5c6e992b9d7a31000146fd95,5.36
61bb372340db417c1a1389c6,4.22
607da171f464f9e638d62de2,3.94
5f689679cc2af84fa2c57263,5.00
6136001fcd0e07e6f5f66bc1,4.53
62a33c442c64c9d129b53f32,5.22
5e62ece11e3088084e0039b8,6.92
63468b5809bf04222262bfed,6.00
5d7874252f037f0016637125,5.70
6346921046fa377ce55acbc1,4.39
62d6d791bb6448ae52929ebd,5.87
57dd3b0e91b7fc0001493db9,6.29
5e19d095c5d2902507755956,6.25
629f2d6a8d790f69182e8b3e,7.01
6310abc5b4e10681057997de,6.71
6321decd01d759ccbe3a26b3,6.50
5cc7443b836ddc0016fec706,5.05
62fc94176ecdef3f7bd04833,6.00
