participant.label,informationtreatment.5.player.display_payoff_euro
5fbf94f2891c55203896f7dc,4.30
5c408532e1443100010726e2,5.43
62e17900c4ff2316a7297ce6,6.25
5edeea354d54cb1a825aa8f9,5.52
5b74411d95d7040001fed474,6.10
5964e073241f8d0001065056,4.76
5ea180ae34f3aa0319313965,5.62
609140cea1442672dd2141d7,4.88
5ed1566237d27008e6239275,4.53
55c3b47dfdf99b52bdba86da,5.12
56abcb46f209e0000adab961,6.25
5bb20c4ce05c350001ef337e,6.27
5de57a5b1017854f8a4efca3,6.50
6161c4cc2d4f503e8265038e,4.39
60735ba783112811b736c8da,7.54
60187851316976127d909f30,4.73
5ea00d4b1286ee0008405450,4.99
63468bca8b362157c0a33cfd,5.80
5e42c26bcea1861491e28258,5.26
5dfedfbb557425b599c8c523,5.33
617406fbfced12169896d158,4.32
5c1575e62a407b0001ff2a4c,5.31
5e9493292ac4bb302de51df1,5.57
5eb05ee34ca8a81042c289ab,5.04
587d4ed4e4404c0001c9d1b9,7.15
